"region","produktionssätt","bränsletyp","2009","2010","2011","2012","2013"
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,..,0,0
"0584 Vadstena","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,..,0,0
"0584 Vadstena","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,..,0,0
"0584 Vadstena","vattenkraft","elproduktion",0,0,..,0,0
"0584 Vadstena","vattenkraft","flytande (icke förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","fast (icke förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","gas (icke förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","flytande (förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","fast (förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","gas (förnybara)",0,0,..,0,0
"0584 Vadstena","vattenkraft","summa produktionssätt",0,0,..,0,0
"0584 Vadstena","vindkraft","elproduktion",..,..,..,42347,44280
"0584 Vadstena","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","flytande (förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","fast (förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","gas (förnybara)",..,..,..,0,0
"0584 Vadstena","vindkraft","summa produktionssätt",..,..,..,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0586 Mjölby","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0586 Mjölby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0586 Mjölby","vattenkraft","elproduktion",28473,40477,38212,41670,28941
"0586 Mjölby","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","fast (förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","gas (förnybara)",0,0,0,0,0
"0586 Mjölby","vattenkraft","summa produktionssätt",0,0,0,0,0
"0586 Mjölby","vindkraft","elproduktion",..,..,..,178618,180804
"0586 Mjölby","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","flytande (förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","fast (förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","gas (förnybara)",..,..,..,0,0
"0586 Mjölby","vindkraft","summa produktionssätt",..,..,..,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0604 Aneby","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,690
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0604 Aneby","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0604 Aneby","vattenkraft","elproduktion",245,168,436,391,0
"0604 Aneby","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","fast (förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","gas (förnybara)",0,0,0,0,0
"0604 Aneby","vattenkraft","summa produktionssätt",0,0,0,0,0
"0604 Aneby","vindkraft","elproduktion",..,..,..,..,..
"0604 Aneby","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","flytande (förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","fast (förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","gas (förnybara)",..,..,..,0,0
"0604 Aneby","vindkraft","summa produktionssätt",..,..,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,..,0,0
"0617 Gnosjö","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,..,0,0
"0617 Gnosjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,..,0,0
"0617 Gnosjö","vattenkraft","elproduktion",0,0,..,0,0
"0617 Gnosjö","vattenkraft","flytande (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","fast (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","gas (icke förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","flytande (förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","fast (förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","gas (förnybara)",0,0,..,0,0
"0617 Gnosjö","vattenkraft","summa produktionssätt",0,0,..,0,0
"0617 Gnosjö","vindkraft","elproduktion",..,..,..,..,..
"0617 Gnosjö","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","flytande (förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","fast (förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","gas (förnybara)",..,..,..,0,0
"0617 Gnosjö","vindkraft","summa produktionssätt",..,..,..,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0642 Mullsjö","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0642 Mullsjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0642 Mullsjö","vattenkraft","elproduktion",252,..,1953,..,..
"0642 Mullsjö","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","fast (förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","gas (förnybara)",0,0,0,0,0
"0642 Mullsjö","vattenkraft","summa produktionssätt",0,0,0,0,0
"0642 Mullsjö","vindkraft","elproduktion",..,..,..,..,..
"0642 Mullsjö","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","flytande (förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","fast (förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","gas (förnybara)",..,..,..,0,0
"0642 Mullsjö","vindkraft","summa produktionssätt",..,..,..,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0643 Habo","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0643 Habo","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0643 Habo","vattenkraft","elproduktion",..,3611,4454,2520,1809
"0643 Habo","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","fast (förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","gas (förnybara)",0,0,0,0,0
"0643 Habo","vattenkraft","summa produktionssätt",0,0,0,0,0
"0643 Habo","vindkraft","elproduktion",..,..,..,0,0
"0643 Habo","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","flytande (förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","fast (förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","gas (förnybara)",..,..,..,0,0
"0643 Habo","vindkraft","summa produktionssätt",..,..,..,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0662 Gislaved","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0662 Gislaved","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0662 Gislaved","vattenkraft","elproduktion",9914,10362,11633,..,..
"0662 Gislaved","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","fast (förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","gas (förnybara)",0,0,0,0,0
"0662 Gislaved","vattenkraft","summa produktionssätt",0,0,0,0,0
"0662 Gislaved","vindkraft","elproduktion",..,..,..,..,..
"0662 Gislaved","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","flytande (förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","fast (förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","gas (förnybara)",..,..,..,0,0
"0662 Gislaved","vindkraft","summa produktionssätt",..,..,..,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0665 Vaggeryd","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0665 Vaggeryd","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","elproduktion",1564,0,723,2357,1408
"0665 Vaggeryd","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","fast (förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","gas (förnybara)",0,0,0,0,0
"0665 Vaggeryd","vattenkraft","summa produktionssätt",0,0,0,0,0
"0665 Vaggeryd","vindkraft","elproduktion",..,..,..,0,0
"0665 Vaggeryd","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","flytande (förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","fast (förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","gas (förnybara)",..,..,..,0,0
"0665 Vaggeryd","vindkraft","summa produktionssätt",..,..,..,0,0
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","elproduktion",125906,337948,125935,97240,105056
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",3696,5124,2966,1711,290
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",57674,162225,60691,46586,56555
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","fast (förnybara)",83220,187824,75609,57849,59246
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","gas (förnybara)",4635,8849,4575,838,316
"0680 Jönköping","kraftvärmeverk + industriellt mottryck","summa produktionssätt",149225,364022,143841,106985,116407
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0680 Jönköping","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"0680 Jönköping","vattenkraft","elproduktion",41483,73243,82694,86255,47073
"0680 Jönköping","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","flytande (förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","fast (förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","gas (förnybara)",0,0,0,0,0
"0680 Jönköping","vattenkraft","summa produktionssätt",0,0,0,0,0
"0680 Jönköping","vindkraft","elproduktion",..,..,..,88147,80207
"0680 Jönköping","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","fast (icke förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","gas (icke förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","flytande (förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","fast (förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","gas (förnybara)",..,..,..,0,0
"0680 Jönköping","vindkraft","summa produktionssätt",..,..,..,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","elproduktion",..,34125,32480,29704,32010
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,45398,39383,36952,40876
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"0682 Nässjö","kraftvärmeverk + industriellt mottryck","summa produktionssätt",..,45398,39383,36952,40876
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"0682 Nässjö","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
